,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0,6,2016,16000,1,24089,3,265,36,2
1,6,2017,15995,1,18615,3,145,36,2
2,6,2015,13998,1,27469,3,265,36,2
3,6,2017,18998,1,14736,3,150,36,2
4,6,2017,17498,1,36284,3,145,36,2
5,6,2017,15998,1,26919,3,260,36,2
6,6,2017,18522,1,10456,3,145,36,2
7,6,2017,18995,1,12340,3,145,36,2
8,6,2020,27998,1,516,3,150,33,2
9,6,2016,13990,1,37999,3,265,36,2
10,6,2013,10495,1,72000,3,265,36,2
11,6,2017,17990,1,12597,3,145,36,2
12,6,2017,16995,1,36100,3,145,36,2
13,6,2019,23995,1,995,3,145,33,2
14,6,2018,18498,1,35228,3,145,36,2
15,6,2019,23980,1,1751,3,145,33,2
16,6,2017,17995,1,16444,3,265,36,2
17,6,2014,12998,1,25499,3,260,36,2
18,6,2019,23495,0,3934,3,145,32,2
19,6,2019,25780,1,5123,3,145,33,2
20,6,2020,26995,3,1500,3,145,32,2
21,6,2019,23998,3,913,3,145,32,2
22,6,2019,26995,1,2680,3,150,33,2
23,6,2017,17000,1,14345,3,150,36,2
24,6,2018,19995,1,15525,3,150,36,2
25,6,2020,31000,1,3000,3,145,33,2
26,6,2016,15995,3,19460,3,200,39,2
27,6,2018,18490,1,31231,3,150,36,2
28,6,2020,24990,1,339,3,145,33,2
29,6,2015,13981,1,30500,3,265,36,2
30,6,2015,13991,1,38126,3,260,36,2
31,6,2019,27060,0,3348,3,145,32,2
32,6,2018,20695,1,5260,3,145,36,2
33,6,2019,25999,1,100,3,145,33,2
34,6,2013,11575,1,50584,3,265,36,2
35,6,2017,20995,1,6445,3,145,36,2
36,6,2014,14999,1,18389,3,260,36,2
37,6,2019,27000,3,100,3,145,32,2
38,6,2016,15000,1,28321,3,265,36,2
39,6,2019,22200,3,16241,3,145,32,2
40,6,2019,24990,1,3150,3,145,33,2
41,6,2019,25995,1,8912,3,145,33,2
42,6,2017,19500,1,9639,3,260,36,2
43,6,2017,18250,1,20219,3,145,36,2
44,6,2019,23995,1,1557,3,150,33,2
45,6,2016,17500,1,14000,3,260,36,2
46,6,2019,23997,1,4500,3,145,33,2
47,6,2017,17102,1,21000,3,260,36,2
48,6,2019,24995,1,2488,3,145,33,2
49,6,2017,19995,1,26000,3,145,36,2
50,6,2020,29769,1,999,3,145,33,2
51,6,2019,25850,1,4442,3,145,33,2
52,6,2014,13495,1,24667,3,265,36,2
53,6,2017,18495,3,13930,3,150,39,2
54,6,2020,25499,1,614,3,145,33,2
55,6,2017,18621,1,18544,3,150,36,2
56,6,2019,25121,1,7056,3,145,33,2
57,6,2017,17500,1,11898,3,145,36,2
58,6,2013,11599,0,28335,3,200,39,2
59,6,2017,17249,1,10089,3,145,36,2
60,6,2020,25995,1,3250,3,145,33,2
61,6,2014,13000,1,39761,3,265,36,2
62,6,2017,17250,1,19420,3,145,36,2
63,6,2019,27950,1,489,3,145,33,2
64,6,2020,27995,1,1055,3,145,33,2
65,6,2016,13999,1,19987,3,260,36,2
66,6,2012,9995,0,74599,3,200,39,2
67,6,2015,10499,0,81206,3,200,39,2
68,6,2012,11995,1,53000,3,250,36,2
69,6,2015,13495,1,49000,3,265,36,2
70,6,2019,24990,0,4000,3,145,32,2
71,6,2017,19500,1,6725,3,145,36,2
72,6,2020,28000,1,650,3,145,33,2
